Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of heart rate (GO:0010460)	1/14	0.014604679593987663	1.0	0	0	68.02721088435374	287.51110758417076	NPPA
negative regulation of smooth muscle cell migration (GO:0014912)	1/14	0.014604679593987663	1.0	0	0	68.02721088435374	287.51110758417076	PRKG1
regulation of platelet aggregation (GO:0090330)	1/14	0.014604679593987663	1.0	0	0	68.02721088435374	287.51110758417076	PRKG1
regulation of angiogenesis (GO:0045765)	2/177	0.01464496844485374	1.0	0	0	10.761366693570084	45.452337405165906	NPPB;NPR1
negative regulation of platelet activation (GO:0010544)	1/15	0.015640064360477556	1.0	0	0	63.492063492063494	263.99488436529464	PRKG1
regulation of delayed rectifier potassium channel activity (GO:1902259)	1/15	0.015640064360477556	1.0	0	0	63.492063492063494	263.99488436529464	NPPA
linoleic acid metabolic process (GO:0043651)	1/16	0.016674413158675527	1.0	0	0	59.523809523809526	243.68332623111672	ALOX12B
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	1/16	0.016674413158675527	1.0	0	0	59.523809523809526	243.68332623111672	ALOX15B
regulation of water loss via skin (GO:0033561)	1/16	0.016674413158675527	1.0	0	0	59.523809523809526	243.68332623111672	ALOX12B
establishment of skin barrier (GO:0061436)	1/16	0.016674413158675527	1.0	0	0	59.523809523809526	243.68332623111672	ALOX12B
positive regulation of nitric-oxide synthase activity (GO:0051000)	1/16	0.016674413158675527	1.0	0	0	59.523809523809526	243.68332623111672	NPR3
regulation of osteoblast proliferation (GO:0033688)	1/16	0.016674413158675527	1.0	0	0	59.523809523809526	243.68332623111672	NPR3
negative regulation of cellular process (GO:0048523)	3/534	0.017602195573072667	1.0	0	0	5.350454788657036	21.61440147805477	NPPB;NPR1;ALOX15B
regulation of T cell migration (GO:2000404)	1/17	0.01770772695128657	1.0	0	0	56.022408963585434	225.980626540215	AIRE
regulation of cell growth (GO:0001558)	2/201	0.01861567474753572	1.0	0	0	9.476427386875148	37.75173015680662	NPPB;NPR1
regulation of epithelial cell differentiation (GO:0030856)	1/18	0.01874000670829494	1.0	0	0	52.91005291005291	210.4282880531894	ALOX15B
regulation of cardiac muscle cell membrane repolarization (GO:0099623)	1/18	0.01874000670829494	1.0	0	0	52.91005291005291	210.4282880531894	NPPA
membrane lipid metabolic process (GO:0006643)	1/18	0.01874000670829494	1.0	0	0	52.91005291005291	210.4282880531894	ALOX12B
regulation of peptidase activity (GO:0052547)	1/18	0.01874000670829494	1.0	0	0	52.91005291005291	210.4282880531894	A2ML1
positive regulation of heart contraction (GO:0045823)	1/19	0.019771253405680735	1.0	0	0	50.12531328320802	196.6679821770625	NPPA
morphogenesis of an epithelium (GO:0002009)	1/19	0.019771253405680735	1.0	0	0	50.12531328320802	196.6679821770625	AIRE
regulation of calcium ion transmembrane transport (GO:1903169)	1/20	0.020801468010995312	1.0	0	0	47.61904761904763	184.41579606255422	NPPA
urogenital system development (GO:0001655)	1/22	0.022858804833681204	1.0	0	0	43.29004329004329	163.56791792092736	ALOX15B
positive regulation of monooxygenase activity (GO:0032770)	1/23	0.02388592899272268	1.0	0	0	41.40786749482402	154.63626246366346	NPR3
cellular nitrogen compound biosynthetic process (GO:0044271)	1/23	0.02388592899272268	1.0	0	0	41.40786749482402	154.63626246366346	PM20D1
regulation of vascular smooth muscle cell proliferation (GO:1904705)	1/25	0.025937093673008556	1.0	0	0	38.095238095238095	139.12690082791903	PRKG1
regulation of voltage-gated calcium channel activity (GO:1901385)	1/25	0.025937093673008556	1.0	0	0	38.095238095238095	139.12690082791903	NPPA
internal peptidyl-lysine acetylation (GO:0018393)	1/26	0.026961136138080617	1.0	0	0	36.630036630036635	132.35746711376424	CPA4
negative regulation of smooth muscle cell proliferation (GO:0048662)	1/27	0.027984153316513986	1.0	0	0	35.27336860670194	126.14168895945032	PRKG1
regulation of macrophage derived foam cell differentiation (GO:0010743)	1/29	0.030027115673516156	1.0	0	0	32.84072249589491	115.12822495132278	ALOX15B
ceramide biosynthetic process (GO:0046513)	1/32	0.033083893789381195	1.0	0	0	29.761904761904763	101.44966391337728	ALOX12B
positive regulation of chemokine production (GO:0032722)	1/34	0.035116646880288954	1.0	0	0	28.011204481792717	93.81176444949939	ALOX15B
regulation of cardiac muscle contraction (GO:0055117)	1/35	0.03613149663654638	1.0	0	0	27.2108843537415	90.35619893955197	NPPA
regulation of nitric-oxide synthase activity (GO:0050999)	1/36	0.03714532981270047	1.0	0	0	26.455026455026456	87.11421236395066	NPR3
ceramide metabolic process (GO:0006672)	1/42	0.04320703480196092	1.0	0	0	22.675736961451246	71.24154091500026	ALOX12B
regulation of multicellular organismal development (GO:2000026)	1/43	0.04421377893724838	1.0	0	0	22.1483942414175	69.07461346218784	ALOX15B
cell morphogenesis (GO:0000902)	1/59	0.06018512849852576	1.0	0	0	16.142050040355127	45.36448736228767	C21ORF59
cellular amide metabolic process (GO:0043603)	1/62	0.06315132089981415	1.0	0	0	15.360983102918587	42.43043799604802	PM20D1
sphingolipid biosynthetic process (GO:0030148)	1/66	0.06709237742938731	1.0	0	0	14.430014430014431	38.98535124986508	ALOX12B
regulation of endopeptidase activity (GO:0052548)	1/68	0.0690569798213239	1.0	0	0	14.005602240896359	37.4345002892665	A2ML1
neuropeptide signaling pathway (GO:0007218)	1/70	0.07101764164383469	1.0	0	0	13.60544217687075	35.98404025780288	NPPA
histone acetylation (GO:0016573)	1/71	0.07199649719355061	1.0	0	0	13.413816230717641	35.293599077654065	CPA4
regulation of neuron death (GO:1901214)	1/72	0.07297437040523923	1.0	0	0	13.227513227513228	34.62496018279864	PM20D1
negative regulation of cell cycle (GO:0045786)	1/72	0.07297437040523923	1.0	0	0	13.227513227513228	34.62496018279864	ALOX15B
positive regulation of cytokine secretion (GO:0050715)	1/73	0.07395126223609223	1.0	0	0	13.04631441617743	33.977156179955	ALOX15B
gland development (GO:0048732)	1/75	0.07590210546795215	1.0	0	0	12.6984126984127	32.74045530082007	ALOX15B
extracellular matrix disassembly (GO:0022617)	1/78	0.07882103324040048	1.0	0	0	12.210012210012211	31.020456635415123	CAPNS2
regulation of hydrolase activity (GO:0051336)	1/80	0.08076210457504769	1.0	0	0	11.904761904761907	29.95532650303996	PRKG1
negative regulation of cell death (GO:0060548)	1/81	0.08173117888128069	1.0	0	0	11.757789535567314	29.445264238250083	PM20D1
negative regulation of neuron death (GO:1901215)	1/83	0.08366640942468323	1.0	0	0	11.474469305794608	28.46721403475123	PM20D1
skin development (GO:0043588)	1/94	0.09424093857799493	1.0	0	0	10.131712259371835	23.930097261241507	ALOX12B
negative regulation of cell motility (GO:2000146)	1/97	0.0971046684691041	1.0	0	0	9.818360333824252	22.8960807644488	ALOX15B
histone modification (GO:0016570)	1/98	0.09805732735418307	1.0	0	0	9.718172983479105	22.567570440619125	CPA4
sphingolipid metabolic process (GO:0006665)	1/116	0.11504236440770409	1.0	0	0	8.210180623973727	17.754144764387995	ALOX12B
regulation of cell differentiation (GO:0045595)	1/121	0.11970609660384433	1.0	0	0	7.870916961826054	16.707719286519286	ALOX15B
negative regulation of cell migration (GO:0030336)	1/121	0.11970609660384433	1.0	0	0	7.870916961826054	16.707719286519286	ALOX15B
protein lipidation (GO:0006497)	1/127	0.1252716795248585	1.0	0	0	7.499062617172854	15.577581282164841	ALOX12B
skeletal system development (GO:0001501)	1/146	0.14267578418707755	1.0	0	0	6.523157208088715	12.701764293914694	NPR3
transcription initiation from RNA polymerase II promoter (GO:0006367)	1/160	0.15528829462116434	1.0	0	0	5.952380952380953	11.086142406896824	NPPA
DNA-templated transcription, initiation (GO:0006352)	1/186	0.1782441568346252	1.0	0	0	5.120327700972863	8.830522278322825	NPPA
regulation of GTPase activity (GO:0043087)	1/188	0.17998516202793857	1.0	0	0	5.065856129685917	8.687339739958698	PRKG1
regulation of cell proliferation (GO:0042127)	2/740	0.18134390785937884	1.0	0	0	2.5740025740025745	4.394749053007967	NPR3;ALOX15B
cilium organization (GO:0044782)	1/192	0.18345663933308162	1.0	0	0	4.9603174603174605	8.41159195100508	C21ORF59
positive regulation of cell differentiation (GO:0045597)	1/194	0.18518712492425193	1.0	0	0	4.909180166912126	8.278784874983439	ALOX15B
regulation of MAPK cascade (GO:0043408)	1/203	0.19293117952452418	1.0	0	0	4.691531785127845	7.719548376460206	ALOX12B
positive regulation of gene expression (GO:0010628)	2/771	0.19318007152202304	1.0	0	0	2.4705083070841827	4.061843028833111	AIRE;ALOX12B
regulation of cell cycle (GO:0051726)	1/215	0.20314760340500082	1.0	0	0	4.4296788482834994	7.060121611462076	ALOX15B
extracellular matrix organization (GO:0030198)	1/229	0.21491109938186237	1.0	0	0	4.158868787689748	6.394388969069264	CAPNS2
apoptotic process (GO:0006915)	1/231	0.21657803625074293	1.0	0	0	4.1228612657184085	6.307171106608754	ALOX15B
plasma membrane bounded cell projection assembly (GO:0120031)	1/241	0.22486228313560416	1.0	0	0	3.9517881841533296	5.897123647994197	C21ORF59
positive regulation of macromolecule metabolic process (GO:0010604)	1/276	0.2532050344649054	1.0	0	0	3.450655624568668	4.739667721038924	ALOX12B
cilium assembly (GO:0060271)	1/288	0.26269326358033734	1.0	0	0	3.306878306878307	4.420529846669948	C21ORF59
positive regulation of MAPK cascade (GO:0043410)	1/289	0.26347874547457084	1.0	0	0	3.295435821387379	4.395394880836038	ALOX12B
proteolysis (GO:0006508)	1/291	0.2650473190371886	1.0	0	0	3.272786777941417	4.3457597988276815	CPA4
regulation of cell migration (GO:0030334)	1/316	0.2843879937346113	1.0	0	0	3.0138637733574445	3.7896799218420836	ALOX15B
regulation of gene expression (GO:0010468)	2/1037	0.2976914992324279	1.0	0	0	1.8368002938880472	2.2256464456632896	AIRE;ALOX12B
negative regulation of cell proliferation (GO:0008285)	1/363	0.31944377107502075	1.0	0	0	2.623638987275351	2.9940286265989577	ALOX15B
organelle assembly (GO:0070925)	1/376	0.3288474562843451	1.0	0	0	2.5329280648429586	2.817024555344224	C21ORF59
positive regulation of protein phosphorylation (GO:0001934)	1/412	0.3542469243673674	1.0	0	0	2.311604253351826	2.398892932374916	ALOX12B
cellular response to cytokine stimulus (GO:0071345)	1/456	0.3840484399729853	1.0	0	0	2.0885547201336676	1.9987188566982776	NPR2
positive regulation of intracellular signal transduction (GO:1902533)	1/479	0.3991005123629426	1.0	0	0	1.9882692116512575	1.8263087446711912	ALOX12B
cellular protein metabolic process (GO:0044267)	1/484	0.4023260216461561	1.0	0	0	1.9677292404565134	1.7916027546741748	NPPA
transcription from RNA polymerase II promoter (GO:0006366)	1/485	0.40296914172961357	1.0	0	0	1.9636720667648504	1.784772295253274	NPPA
positive regulation of nucleic acid-templated transcription (GO:1903508)	1/502	0.4138018615717043	1.0	0	0	1.897173211914248	1.6740049610273326	AIRE
regulation of nucleic acid-templated transcription (GO:1903506)	1/607	0.4766734738994454	1.0	0	0	1.5689966266572528	1.16250657188411	AIRE
regulation of cellular macromolecule biosynthetic process (GO:2000112)	1/631	0.49011389473152217	1.0	0	0	1.5093200513168818	1.0763225064666033	AIRE
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	1/848	0.5975928723862405	1.0	0	0	1.1230907457322552	0.5782182977304374	AIRE
cellular protein modification process (GO:0006464)	1/1001	0.6600020205770708	1.0	0	0	0.9514295228580943	0.39533074781022964	ALOX12B
positive regulation of transcription, DNA-templated (GO:0045893)	1/1120	0.7020506227928316	1.0	0	0	0.8503401360544218	0.30080762356784674	AIRE
regulation of transcription from RNA polymerase II promoter (GO:0006357)	1/1478	0.8007245746529955	1.0	0	0	0.6443714156840004	0.14320397120517198	AIRE
regulation of transcription, DNA-templated (GO:0006355)	1/1598	0.8261630206331126	1.0	0	0	0.5959830740806962	0.1138108131551864	AIRE
