Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T cell activation involved in immune response (GO:0002286)	1/26	0.014210815676953212	1.0	0	0	69.93006993006993	297.46517041295465	IFNA4
negative regulation of smooth muscle cell proliferation (GO:0048662)	1/27	0.01475370275603204	1.0	0	0	67.34006734006734	283.9233126863899	CNN1
B cell proliferation (GO:0042100)	1/29	0.01583866177167553	1.0	0	0	62.69592476489028	259.8935034655946	IFNA4
regulation of leukocyte chemotaxis (GO:0002688)	1/30	0.01638073395054089	1.0	0	0	60.6060606060606	249.19087235368	MST1
smoothened signaling pathway (GO:0007224)	1/30	0.01638073395054089	1.0	0	0	60.6060606060606	249.19087235368	PKD2L1
protein trimerization (GO:0070206)	1/32	0.017464064240814415	1.0	0	0	56.81818181818181	229.97783984491127	PKD2L1
vasculogenesis (GO:0001570)	1/32	0.017464064240814415	1.0	0	0	56.81818181818181	229.97783984491127	TNNI3
response to exogenous dsRNA (GO:0043330)	1/33	0.01800532259639319	1.0	0	0	55.09641873278237	221.32715509624902	IFNA4
regulation of cardiac muscle contraction (GO:0055117)	1/35	0.01908702632439229	1.0	0	0	51.94805194805194	205.64916492239948	TNNI3
lymphocyte proliferation (GO:0046651)	1/36	0.01962747193991364	1.0	0	0	50.5050505050505	198.52651841030726	IFNA4
regulation of blood circulation (GO:1903522)	1/36	0.01962747193991364	1.0	0	0	50.5050505050505	198.52651841030726	TNNT2
natural killer cell activation (GO:0030101)	1/36	0.01962747193991364	1.0	0	0	50.5050505050505	198.52651841030726	IFNA4
sodium ion transmembrane transport (GO:0035725)	1/36	0.01962747193991364	1.0	0	0	50.5050505050505	198.52651841030726	PKD2L1
regulation of type I interferon-mediated signaling pathway (GO:0060338)	1/39	0.021247185233602552	1.0	0	0	46.620046620046615	179.5585478778756	IFNA4
regulation of intracellular transport (GO:0032386)	1/40	0.02178654888216798	1.0	0	0	45.45454545454545	173.93011469901603	MYBPC3
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1/44	0.023941302793523297	1.0	0	0	41.32231404958677	154.22108104222013	PKD2L1
negative regulation of cellular biosynthetic process (GO:0031327)	1/47	0.02555453587694348	1.0	0	0	38.684719535783366	141.85456281077893	MST1
blood circulation (GO:0008015)	1/50	0.027165344857992397	1.0	0	0	36.36363636363636	131.12048014986075	TNNI3
heart morphogenesis (GO:0003007)	1/50	0.027165344857992397	1.0	0	0	36.36363636363636	131.12048014986075	MYBPC3
B cell differentiation (GO:0030183)	1/52	0.02823787239566386	1.0	0	0	34.96503496503497	124.72346885637036	IFNA4
sodium ion transport (GO:0006814)	1/58	0.03144900907971979	1.0	0	0	31.34796238244514	108.44475875019188	PKD2L1
cellular response to type I interferon (GO:0071357)	1/65	0.035183142220876845	1.0	0	0	27.972027972027973	93.62764266499984	IFNA4
type I interferon signaling pathway (GO:0060337)	1/65	0.035183142220876845	1.0	0	0	27.972027972027973	93.62764266499984	IFNA4
regulation of cardiac conduction (GO:1903779)	1/67	0.03624763101785663	1.0	0	0	27.137042062415194	90.02391454677013	TNNI3
regulation of innate immune response (GO:0045088)	1/69	0.03731105207809084	1.0	0	0	26.350461133069828	86.65258745347978	IFNA4
calcium-mediated signaling (GO:0019722)	1/70	0.037842362503763806	1.0	0	0	25.97402597402597	85.04743123936544	TNNI3
response to metal ion (GO:0010038)	1/72	0.03890418375818435	1.0	0	0	25.25252525252525	81.98619905345255	TNNT2
lymphocyte differentiation (GO:0030098)	1/73	0.039434694821538385	1.0	0	0	24.906600249066	80.52576017269782	IFNA4
B cell activation (GO:0042113)	1/73	0.039434694821538385	1.0	0	0	24.906600249066	80.52576017269782	IFNA4
response to calcium ion (GO:0051592)	1/79	0.04261217490903927	1.0	0	0	23.014959723820482	72.62635835562413	TNNT2
cation transport (GO:0006812)	1/79	0.04261217490903927	1.0	0	0	23.014959723820482	72.62635835562413	PKD2L1
regulation of protein serine/threonine kinase activity (GO:0071900)	1/80	0.04314082499469826	1.0	0	0	22.727272727272727	71.43830714872377	MST1
regulation of hydrolase activity (GO:0051336)	1/80	0.04314082499469826	1.0	0	0	22.727272727272727	71.43830714872377	TNNC1
positive regulation of peptidyl-serine phosphorylation (GO:0033138)	1/83	0.044725183473176736	1.0	0	0	21.90580503833516	68.0661237096331	IFNA4
calcium ion homeostasis (GO:0055074)	1/87	0.04683395176457438	1.0	0	0	20.89864158829676	63.97381136940646	TNNI3
T cell activation (GO:0042110)	1/88	0.04736048219236788	1.0	0	0	20.661157024793386	63.01584931883327	IFNA4
regulation of cytokine-mediated signaling pathway (GO:0001959)	1/90	0.04841274991635465	1.0	0	0	20.2020202020202	61.1715570086215	IFNA4
cellular metal ion homeostasis (GO:0006875)	1/96	0.051563216555611455	1.0	0	0	18.939393939393938	56.154293904312425	TNNI3
cellular divalent inorganic cation homeostasis (GO:0072503)	1/101	0.054181359025060244	1.0	0	0	18.001800180018	52.48277874204787	TNNI3
positive regulation of epithelial cell proliferation (GO:0050679)	1/107	0.05731445654280469	1.0	0	0	16.992353440951568	48.5845775938267	MST1
circulatory system development (GO:0072359)	1/109	0.05835672384406997	1.0	0	0	16.680567139282736	47.392505319662156	TNNI3
positive regulation of developmental process (GO:0051094)	1/113	0.06043811633234245	1.0	0	0	16.090104585679807	45.151010586873866	MST1
actin filament organization (GO:0007015)	1/120	0.06407049195104964	1.0	0	0	15.15151515151515	41.632899470056294	MYBPC3
cellular calcium ion homeostasis (GO:0006874)	1/123	0.06562331267019857	1.0	0	0	14.781966001478198	40.26347775451756	TNNI3
negative regulation of multicellular organismal process (GO:0051241)	1/125	0.06665722494334128	1.0	0	0	14.545454545454545	39.39188126519242	TNNT1
inorganic cation transmembrane transport (GO:0098662)	1/140	0.0743784776967384	1.0	0	0	12.987012987012985	33.747904639763185	PKD2L1
protein homooligomerization (GO:0051260)	1/190	0.09969849992916127	1.0	0	0	9.56937799043062	22.06320237295176	PKD2L1
positive regulation of multicellular organismal process (GO:0051240)	1/202	0.10568083944758301	1.0	0	0	9.000900090009	20.22800788031531	MST1
ion transport (GO:0006811)	1/289	0.1479835926195893	1.0	0	0	6.291286568103177	12.020471041471986	PKD2L1
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	1/396	0.19751343119746428	1.0	0	0	4.591368227731865	7.446963686364361	MST1
cellular response to cytokine stimulus (GO:0071345)	1/456	0.22412740587004798	1.0	0	0	3.987240829346092	5.963080592557431	IFNA4
cytokine-mediated signaling pathway (GO:0019221)	1/633	0.29803221271201785	1.0	0	0	2.8723251472066638	3.477103840211601	IFNA4
