Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
skeletal muscle cell differentiation (GO:0035914)	1/12	0.007178170714881846	1.0	0	0	138.88888888888889	685.6542643706645	KLHL40
skeletal myofibril assembly (GO:0014866)	1/12	0.007178170714881846	1.0	0	0	138.88888888888889	685.6542643706645	ACTA1
neutrophil activation (GO:0042119)	1/14	0.008369935820942226	1.0	0	0	119.04761904761905	569.4177455070225	DNASE1
plasma membrane bounded cell projection assembly (GO:0120031)	2/241	0.008813339250145349	1.0	0	0	13.831258644536653	65.44244649127495	ABLIM2;ABLIM3
myotube differentiation (GO:0014902)	1/15	0.008965326705510297	1.0	0	0	111.11111111111111	523.8211922507344	KLHL40
glucose 6-phosphate metabolic process (GO:0051156)	1/16	0.00956039001281181	1.0	0	0	104.16666666666667	484.3882037949737	PHACTR1
DNA catabolic process (GO:0006308)	1/17	0.010155125895608219	1.0	0	0	98.03921568627452	449.9781065319149	DNASE1
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	1/18	0.010749534506708167	1.0	0	0	92.5925925925926	419.71229880070155	PHACTR1
NADP metabolic process (GO:0006739)	1/19	0.011343616002547938	1.0	0	0	87.71929824561404	392.90352281003027	PHACTR1
regulation of cardiac muscle hypertrophy (GO:0010611)	1/21	0.012530798277531565	1.0	0	0	79.36507936507937	347.584587524072	MLIP
DNA catabolic process, endonucleolytic (GO:0000737)	1/22	0.013123899368825872	1.0	0	0	75.75757575757576	328.2818433056033	DNASE1
negative regulation of actin filament polymerization (GO:0030837)	1/22	0.013123899368825872	1.0	0	0	75.75757575757576	328.2818433056033	TMSB4Y
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1/24	0.014309122256811026	1.0	0	0	69.44444444444444	294.92069618361586	KLHL40
protein import into nucleus, translocation (GO:0000060)	1/25	0.014901244370148439	1.0	0	0	66.66666666666667	280.4207036495217	ABRA
positive regulation of Rho protein signal transduction (GO:0035025)	1/25	0.014901244370148439	1.0	0	0	66.66666666666667	280.4207036495217	ABRA
regulation of supramolecular fiber organization (GO:1902903)	1/26	0.015493040473318351	1.0	0	0	64.10256410256412	267.13874087242243	TMSB4Y
regulation of actin polymerization or depolymerization (GO:0008064)	1/28	0.01667565529767051	1.0	0	0	59.523809523809526	243.6788922465166	TMSB4Y
negative regulation of proteasomal protein catabolic process (GO:1901799)	1/28	0.01667565529767051	1.0	0	0	59.523809523809526	243.6788922465166	KLHL40
neural tube closure (GO:0001843)	1/33	0.01962649841488355	1.0	0	0	50.50505050505051	198.5290235291719	DVL1P1
actin-myosin filament sliding (GO:0033275)	1/38	0.02256922338610946	1.0	0	0	43.85964912280702	166.27930253802677	ACTA1
muscle filament sliding (GO:0030049)	1/38	0.02256922338610946	1.0	0	0	43.85964912280702	166.27930253802677	ACTA1
positive regulation of Ras protein signal transduction (GO:0046579)	1/40	0.02374404479036207	1.0	0	0	41.66666666666667	155.85098023385018	ABRA
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	1/46	0.02726074776388067	1.0	0	0	36.231884057971016	130.51838486521615	KLHL40
negative regulation of protein ubiquitination (GO:0031397)	1/50	0.029598761568907096	1.0	0	0	33.333333333333336	117.33409191385557	KLHL40
regulation of Rho protein signal transduction (GO:0035023)	1/57	0.03367789522880521	1.0	0	0	29.239766081871345	99.14952002243535	ABRA
actin cytoskeleton reorganization (GO:0031532)	1/61	0.03600176612865679	1.0	0	0	27.322404371584703	90.82478914207738	PHACTR1
regulation of actin filament-based process (GO:0032970)	1/62	0.03658193288429582	1.0	0	0	26.881720430107528	88.9301289649137	ABRA
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	1/65	0.038320513395665175	1.0	0	0	25.641025641025646	83.63512636868711	KLHL40
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	1/70	0.04121175798431784	1.0	0	0	23.80952380952381	75.92932560412326	KLHL40
actomyosin structure organization (GO:0031032)	1/71	0.04178904990512319	1.0	0	0	23.47417840375587	74.5333553465318	PHACTR1
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	1/73	0.042942678013426154	1.0	0	0	22.831050228310502	71.86961465916237	DNASE1
positive regulation of proteasomal protein catabolic process (GO:1901800)	1/73	0.042942678013426154	1.0	0	0	22.831050228310502	71.86961465916237	KLHL40
canonical Wnt signaling pathway (GO:0060070)	1/73	0.042942678013426154	1.0	0	0	22.831050228310502	71.86961465916237	DVL1P1
positive regulation of protein targeting to mitochondrion (GO:1903955)	1/81	0.047544470857634545	1.0	0	0	20.5761316872428	62.67674438988457	ABLIM3
positive regulation of protein ubiquitination (GO:0031398)	1/83	0.04869174554406601	1.0	0	0	20.080321285140567	60.687665848890326	KLHL40
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	1/88	0.051554392476265073	1.0	0	0	18.93939393939394	56.15753530443548	KLHL40
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	1/88	0.051554392476265073	1.0	0	0	18.93939393939394	56.15753530443548	DVL1P1
regulation of protein targeting to mitochondrion (GO:1903214)	1/88	0.051554392476265073	1.0	0	0	18.93939393939394	56.15753530443548	ABLIM3
regulation of establishment of planar polarity (GO:0090175)	1/89	0.05212597345862037	1.0	0	0	18.726591760299627	55.3200734751389	DVL1P1
negative regulation of kinase activity (GO:0033673)	1/91	0.053268188288120896	1.0	0	0	18.315018315018317	53.707252172457366	PPP1R1A
regulation of protein ubiquitination (GO:0031396)	1/101	0.05896036082022865	1.0	0	0	16.501650165016503	46.71435497316346	KLHL40
protein import into nucleus (GO:0006606)	1/103	0.060095023859690136	1.0	0	0	16.181229773462782	45.498838811401235	ABRA
Wnt signaling pathway (GO:0016055)	1/109	0.06349149271749974	1.0	0	0	15.290519877675843	42.15365986256008	DVL1P1
negative regulation of protein kinase activity (GO:0006469)	1/109	0.06349149271749974	1.0	0	0	15.290519877675843	42.15365986256008	PPP1R1A
circulatory system development (GO:0072359)	1/109	0.06349149271749974	1.0	0	0	15.290519877675843	42.15365986256008	DVL1P1
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	1/110	0.06405647581143355	1.0	0	0	15.151515151515152	41.63621439674683	ABLIM3
actin filament organization (GO:0007015)	1/120	0.06968914773080194	1.0	0	0	13.88888888888889	36.995981569995365	ACTA1
regulation of acute inflammatory response (GO:0002673)	1/121	0.0702507024667316	1.0	0	0	13.774104683195594	36.579682800163205	DNASE1
non-canonical Wnt signaling pathway (GO:0035567)	1/127	0.0736135110460111	1.0	0	0	13.123359580052494	34.23788315092171	DVL1P1
positive regulation of mitochondrion organization (GO:0010822)	1/128	0.07417289395937883	1.0	0	0	13.020833333333334	33.87182950613863	ABLIM3
positive regulation of gene expression (GO:0010628)	2/771	0.07585014283875945	1.0	0	0	4.32338953739732	11.15000298320457	ACTA1;ABRA
muscle contraction (GO:0006936)	1/137	0.07919342514991488	1.0	0	0	12.165450121654501	30.849902668998304	ACTA1
regulation of protein kinase activity (GO:0045859)	1/147	0.08474251540480872	1.0	0	0	11.337868480725625	27.983422340465285	PPP1R1A
heart development (GO:0007507)	1/149	0.08584864822894885	1.0	0	0	11.185682326621924	27.46274538584049	DVL1P1
positive regulation of intracellular protein transport (GO:0090316)	1/152	0.08750554999553678	1.0	0	0	10.964912280701755	26.711108104272498	ABLIM3
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	2/848	0.08945534160618057	1.0	0	0	3.9308176100628933	9.489055639539183	MLIP;ABRA
regulation of inflammatory response (GO:0050727)	1/166	0.09520142108649829	1.0	0	0	10.040160642570283	23.612052308404078	DNASE1
negative regulation of protein phosphorylation (GO:0001933)	1/178	0.10175047824033288	1.0	0	0	9.363295880149813	21.397301072282648	PPP1R1A
cilium organization (GO:0044782)	1/192	0.10933611116860299	1.0	0	0	8.680555555555555	19.212921463185335	ABLIM3
positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091)	1/215	0.1216708462021688	1.0	0	0	7.7519379844961245	16.328960172954968	ABRA
regulation of signal transduction (GO:0009966)	1/233	0.13121467280799082	1.0	0	0	7.1530758226037205	14.527328850490019	ABRA
positive regulation of transcription, DNA-templated (GO:0045893)	2/1120	0.14265868990522015	1.0	0	0	2.9761904761904763	5.795536564020463	MLIP;ABRA
positive regulation of macromolecule metabolic process (GO:0010604)	1/276	0.15363029356873478	1.0	0	0	6.038647342995169	11.311631968356458	ACTA1
cilium assembly (GO:0060271)	1/288	0.1597904964560619	1.0	0	0	5.787037037037037	10.612799299232849	ABLIM3
intracellular protein transport (GO:0006886)	1/347	0.18948471738091624	1.0	0	0	4.803073967339097	7.989658524391022	ABRA
organelle assembly (GO:0070925)	1/376	0.20372471718297858	1.0	0	0	4.432624113475177	7.052241232296777	ABLIM3
protein modification by small protein conjugation (GO:0032446)	1/398	0.21437408837025337	1.0	0	0	4.1876046901172534	6.449048214284969	KLHL40
regulation of transcription from RNA polymerase II promoter (GO:0006357)	2/1478	0.2208470660502728	1.0	0	0	2.255299954894001	3.4061452995834554	MLIP;ABRA
regulation of intracellular signal transduction (GO:1902531)	1/422	0.225842570138905	1.0	0	0	3.9494470774091632	5.876449900271454	ABRA
neutrophil activation involved in immune response (GO:0002283)	1/483	0.25430438987239856	1.0	0	0	3.4506556245686686	4.724718233711964	DNASE1
positive regulation of nucleic acid-templated transcription (GO:1903508)	1/502	0.2629716235177193	1.0	0	0	3.3200531208499338	4.434625325349885	ABRA
protein ubiquitination (GO:0016567)	1/506	0.26478449577127167	1.0	0	0	3.2938076416337285	4.376940076897773	KLHL40
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	1/565	0.291053908038805	1.0	0	0	2.9498525073746316	3.6408459527287134	MLIP
negative regulation of transcription, DNA-templated (GO:0045892)	1/813	0.3923344526956971	1.0	0	0	2.0500205002050023	1.9180824257972593	MLIP
regulation of gene expression (GO:0010468)	1/1037	0.47222756112908565	1.0	0	0	1.6072002571520414	1.2058731734866421	ACTA1
regulation of transcription, DNA-templated (GO:0006355)	1/1598	0.6319585101321006	1.0	0	0	1.0429703796412184	0.4786519978258195	ABRA
